Event Number,Event Description,Business Unit,Date Created,Date Last Updated,Date of Occurrence,Date of Identification,Estimated Loss,Loss Value,Rationale for Estimated Loss,Total Recovery Amount,Gross Loss Value,Net Loss,Event Status,Event Identifier,Event Type,Event Owner,Risk Driver (Primary Risk Factor),Other Driver1,Other Driver2,Business Unit Caused,Process Caused,Effect Description,Effect Type,Effect Category,Loss Value,Rationale for Gross Loss  Value,Process Impacted,Unit Impacted,General Ledger Impacted,General Ledger Number,Required Actions,Action Owner,Action Due Date,Action Progress Report,Action Status,Recovery Date,Recovery Amount,Recovery Type,Recovery Description
1747,Ransomware virus detected on 3 Servers and 3 Computer Systems in the Operations section of ARM Pensions Ikoyi Office,ARM Pensions›Information Technology›Information Technology,7/26/2016 10:28,8/9/2016 20:45,7/19/2016,7/19/2016,₦0.00,0.00| 0.00,can not be estimated at this time.,0,0,0,Closed,Eromonse Ohizua,External Fraud›System Security (External)›Malicious Virus attack - External,Eromonse Ohizua,Systems›Data Protection›Virus / Intrusion attacks,,,,,"The ransomware affects the some Shared Folders with everyone read/write access. Files affected include:
1. UploadedDoc Folder on DMS server.
2. Statement Folder on NAVapp server.
3. Spreadsheets saved from Olamilekan’s profile to the FinCon storage drive.
4. John Ikazoboh’s (Fund Account) files on his PC.
5. Scanned documents folder on Kolade (Investment Mgt)
6. XML files for RMAS on the RRS1 server",Actual Loss| Actual Loss,Loss or Damage to Assets| Loss or Damage to Assets,0.00| 0.00,,,,,,"Formatting of corrupt system files on PC allotted to John Ikazoboh.
 Inbound mail correspondence was routed through the Office365 platform.
 GroupShield was installed on both Exchange 2013 servers (S-HQP-EX13 & S-HQP-EX13-1).
 Infected systems were scanned with McAfee Virus Enterprise, McAfee Security Essentials & FortiClient.
 A script was added to McAfee Epo to block wscript from running/executing on all client PCs on the network.
 Access protection rule was created on Mcafee ePO to block Zepto file extensions.
 A scan task was scheduled to continually scan all client machines for the ransomware.
 DeepScan task was run on all quarantined servers and PCs.
 Cyberoam was then configured to route incoming mails, making use of its Anti-Spam and Anti-virus features",Eromonse Ohizua,7/29/2016,,Complete,,,,
1750,Closure of Ekiti branch office due to a dispute between the property owner and the agent managing the facility,ARM Pensions›X_Human Resources and Administration›Human Resources and Administration,7/27/2016 9:08,1/25/2017 9:31,7/22/2016,7/22/2016,₦0.00,0.00| 0.00,Potential loss relate to loss of man hour and potential business.,0,0,0,Closed,Esther Ukwuoma,"Execution, Delivery and Process Management›Vendors and suppliers›Disagreements over terms of outsourcing contracts",John Ikazoboh,External Events›Social and Natural Environment›Unethical Social and Business Environment,,,,,Unable to perform operational activities and attend to client request | Temporary Non compliance with PenCon requirement on having branch office on state with minimium regulatory required RSA accounts,Actual Loss| Potential Loss,Reduced operational capacity| Regulatory Action,0.00| 0.00,,,,,,Follow up with the agent to ensure full recovery of excess rent paid | Work with Admin in fast tracking relocation to a new and permanent office space. | Notification to all client within the environment of proposed movement and to the new location.,Esther Ukwuoma| John Ikazoboh| Moronke Bamgbala,2016-08-31| 2016-10-31| 2016-07-31,The dispute has been resolved and we have moved back to the previous office. This was concluded in December 2016.,Complete| Complete| Complete,,,,
1755,Erroneous Payment of Ex-Staff,ARM Pensions›Human Capital Management›Human Capital Management,8/1/2016 12:00,9/12/2017 13:30,7/22/2016,7/22/2016,"₦304,030.27","304,030.27",Being the amount erroneously transferred.,"129,000.00","304,030.27","175,030.27",Closed,Akinola Akinwole,"Execution, Delivery and Process Management›Transaction capture, execution and maintenance›Erroneous payment to a client, vendor or other counterpaties",Yetunde Alabi,People›Skills›Negligence of duties and responsibilities,,,,,Financial loss as the erroneous transfers might not be recovered,Actual Loss,Loss of Recourse,"304,030.27",Being the amount erroneously transferred.,,,,,"Follow up with the ex-staff to Process recovery of the amount erroneously transferred.| Regularly (i.e. monthly) request from Regions details of exited staff members.

Failure to do this will result into individual Regional Heads bearing applicable financial penalt(ies). Same, the HR Officer managing this function (if exit data was not properly captured).",,2016-08-31| 2016-08-31,"Ex-employee is no longer reachable.
Communication filed in ex-employee's file.",Complete| Complete,7/29/2016,"129,000.00",Others,Being amount already refunded
1757,Erroneous Payment of Ex-Staff,ARM Pensions›Human Capital Management›Human Capital Management,8/1/2016 12:04,9/12/2017 13:34,6/22/2016,6/23/2016,"₦55,886.87","55,886.87",Being the amount erroneously paid and yet to be recovered.,0,"55,886.87","55,886.87",Closed,Akinola Akinwole,"Execution, Delivery and Process Management›Transaction capture, execution and maintenance›Erroneous payment to a client, vendor or other counterpaties",Yetunde Alabi,People›Skills›Negligence of duties and responsibilities,,,,,Financial loss as the erroneous transfers might not be recovered,Actual Loss,Loss of Recourse,"55,886.87",Being the amount erroneously transferred,,,,,"Follow up with the ex-staff to Process recovery of the amount erroneously transferred. | Regularly (i.e. monthly) request from Regions details of exited staff members. Failure to do this will result into individual Regional Heads bearing applicable financial penalt(ies). Same, the HR Officer managing this function (if exit data was not properly captured).",,2016-08-31| 2016-08-31,Ex-employee is no longer reachable. Communication filed in ex-employee's file.,Complete| Complete,,,,
1758,ERRONEOUS PAYMENT OF STAFF SALARY - JULY 2016 AFFECTING STAFF WITH UBA AND FBN ACCOUNTS - DUE TO GTB GAPS PLATFORM GLITCH,ARM Pensions›X_Finance›Finance,8/1/2016 15:23,8/8/2016 18:07,7/22/2016,7/22/2016,₦0.00,0,ALL ERRONEOUS PAYMENT HAVE BEEN RECOVERED,0,0,0,Closed,Moji Adenekan,"Business Disruption and System Failures›Interruption in services provided by external providers›Inability to process transactions on external applications (CSCS website, NSE trading terminal, etc.)",Moji Adenekan,External Events›Outsourcing›Performance failure of outsourced vendor / service provider,,,,,Potential financial loss due to ERRONEOUS PAYMENT made to the affected STAFF,Potential Loss,Loss of Recourse,0,All funds were recovered.,,,,,Inform Gt Bank of the incident to curtail future re-occurrence,Moji Adenekan,7/29/2016,,Complete,,,,
1759,Inabilities to perform EOD on Navision on 20.07.2016 due to erroneous Bank Statement upload,ARM Pensions›X_Finance›Finance,8/1/2016 16:46,8/8/2016 17:59,7/20/2016,7/25/2016,₦0.00,0,No financial loss was incurred.,0,0,0,Closed,Eromonse Ohizua,"Execution, Delivery and Process Management›Transaction capture, execution and maintenance›Wrong classification of accounts",Moji Adenekan,People›Skills›Negligence of duties and responsibilities,,,,,Inabilities to perform EOD on Navision on 20.07.2016 hence total contribution was not processed into fund ware.,Actual Loss,,0,,,,,,Re-upload the Applicable (RSA-contribution account)bank statement and correctly picked the applicable code.,Aderonke Kelani,7/29/2016,,Complete,,,,
1760,Erratic CBN and RTGS Settlement Platforms with an insistent Downtime (For 2 Weeks),ARM Pensions›Investment Mangement›Investment Mangement,8/1/2016 19:58,10/7/2016 18:04,7/4/2016,7/4/2016,₦0.00,,No loss recorded,0,0,0,Closed,Omokolade Amu,"Business Disruption and System Failures›Interruption in services provided by external providers›Inability to process transactions on external applications (CSCS website, NSE trading terminal, etc.)",Omokolade Amu,External Events›Client / Customer Relations›Client/Counterparty Failures,,,,,Inability to confirm settlement status of trades,Potential Loss,,,,,,,,"Upon stability of the platform, review all trades and obtain change control document to reverse failed trades",Omokolade Amu,7/14/2016,,Complete,,,,
1762,"Omitted Money Market Trades Affecting Exxonmobil, PAL & MTN",ARM Pensions›Investment Mangement›Investment Mangement,8/1/2016 20:02,1/30/2017 7:42,7/21/2016,7/21/2016,₦0.00,,No Loss recorded.,0,0,0,Closed,Omokolade Amu,"Execution, Delivery and Process Management›Transaction capture, execution and maintenance›Transaction not booked or Transaction not registered as and when due",Omokolade Amu,People›Capacity›Staff shortages within unit (lack of capacity in unit),People›Skills›Negligence of duties and responsibilities,,,,Incomplete and inaccurate net asset valuation of ARMSGF,,,,,,,,,"Do a call over of all trades for the day to identify omitted trade s and book| Review the exiting process of booking trades to address the lingering issues around trade bookings| Work with the MD/Top Management to restructures IM Team with clear line of responsibilities, having Fixed Income and Equity portfolio being managed by distinct teams and sufficiently resourced the unit to minimize the impact of under capacity within IM Unit",Omokolade Amu| Oluwaseun Adewale| Akinola Akinwole,2016-07-28| 2016-09-30| 2016-09-30,,Complete| Complete| Complete,,,,
1771,"Staff residence's burglary resulting into theft of official work tools (Laptop, Blackberry and Samsung Tablet)",ARM Pensions›Business Development›North (West) Region,8/3/2016 18:43,11/13/2018 15:43,5/29/2016,5/29/2016,"₦180,000.00","180,000.00",Estimated cost of the stolen items,0,"180,000.00","180,000.00",Closed,Oluwaseun Adewale,"External Fraud›Theft and Fraud (External)›Theft of company assets (e.g. Pool car theft, Petty cash theft, etc.)",John Ikazoboh,"External Events›Social and Natural Environment›External attacks (burglary, robberies, vandalism etc)",,,,,Financial loss as the stolen items needs to be replaced,Actual Loss,Loss or Damage to Assets,"180,000.00",,,,,,"Engage the insurance company to process recovery / cash refund of all the stolen items| In the interim,  work with HR and Admin to ensure a temporary work tools are made available to Abdu Musa | IT to Wipe all the data on all the stolen work tools  (Laptop, Blackberry and Samsung Tablet) ",Esther Ukwuoma| John Ikazoboh| Steve Omali,2016-08-26| 2016-08-17| 2016-06-30,Please see attachment,Complete| Complete| Complete,,,,
1772,Stolen Toyota Corolla (2010) with Registration Number GGE-673-CC and Other Official Work Tools (Laptop and Tablet),ARM Pensions›Business Development›East Region,8/8/2016 14:17,12/30/2016 15:26,3/8/2016,3/8/2016,"₦1,150,000.00","1,150,000.00| 0.00","Estimated value if the car was auctioned (N1,000,000) as the NBV is N0.00 since the car was purchased in 2011. Estimated cost of replacing the Official laptop and the Tablet is N150,000","3,330,225.00","1,150,000.00","-2,180,225.00",Closed,Donald Onuoha,External Fraud›Theft and Fraud (External)›Armed robbery,Esther Ukwuoma,"External Events›Social and Natural Environment›External attacks (burglary, robberies, vandalism etc)",,,,,Financial loss of replacing the stolen car and the official laptop| Reduced productive man hours due to absence of a mobile car,Actual Loss| Actual Loss,Loss or Damage to Assets| Reduced operational capacity,"1,150,000.00| 0.00",Financial loss of replacing the stolen car and the official laptop,,,,,Obtain Police report and other important supporting documents to process recovery from the insurance company | Process cash recovery to the tune of the insured amount of the stolen car and other stolen official work tools | IT to wipe the all the data on the stolen Laptop and Tablet,Donald Onuoha| Esther Ukwuoma| Steve Omali,2016-03-31| 2016-09-30| 2016-04-29,It will take three months from the date the police report is obtained and sent to the insurance company to process recovery before recovery can be made,Complete| Complete| Complete,2016-10-19| 2016-10-19,"666,045.00| 2,664,180.00",Insurance| Insurance,"Hallmark 20% claims payment on PHC stolen car ((Total Insured amount is  3,330,226.00 )| 80% Claim  payment from Mansard  (Total Insured amount is  3,330,226.00 )"
1773,Inability to book equity trades due to fundware malfunctioning (05/08/16),ARM Pensions›Investment Mangement›Investment Mangement,8/8/2016 14:54,8/9/2016 10:48,8/5/2016,8/5/2016,₦0.00,0,No loss recorded,0,0,0,Closed,Omokolade Amu,"Business Disruption and System Failures›Interruption in services provided by external providers›Inability to process transactions on external applications (CSCS website, NSE trading terminal, etc.)",Omokolade Amu,External Events›Outsourcing›Performance failure of outsourced vendor / service provider,,,,,Inability to book all the equity trades for the day,Potential Loss,,0,No loss was recorded,,,,,Follow up with Milesoft to resolve   the system glitch relating to equity booking.| Book omitted trades ,Omokolade Amu| Omokolade Amu,2016-08-10| 2016-08-10,This has been rectified after an email was sent to Milesoft,Complete| Complete,,,,
1779,Erroneous pricing of death benefit withdrawal (using Retiree fund price for a RSA transaction) for client PEN100106931393,ARM Pensions›Operations›Benefit Administration,8/16/2016 10:48,10/28/2016 17:43,6/5/2015,8/12/2016,₦0.00,0,Still under investigation,0,0,0,Closed,Ayodeji Ayo-Majaro,"Execution, Delivery and Process Management›Transaction capture, execution and maintenance›Application of wrong interest, exchange, other  rates",Ayodeji Majaro,Systems›System Adequacy›System inadequate for nature of required tasks,People›Skills›Negligence of duties and responsibilities,,,,Reputational risk as the client's statement of account was thrown into negative.| NAV Understatement as the client was overpaid due to the wrong price used.,Actual Loss| Potential Loss,Reputational Loss| Loss or Damage to Assets,0,,,,,,,,,,,,,,
1787,"Failure to book money market liquidation with coronation marchant bank affecting NNPC,RSA,CBN,MTN and ExxonMobil Funds",ARM Pensions›Investment Mangement›Investment Mangement,8/25/2016 17:51,1/30/2017 7:51,8/16/2016,8/17/2016,₦0.00,0,NA,0,0,0,Closed,Oluwaseun Adewale,"Execution, Delivery and Process Management›Transaction capture, execution and maintenance›Transaction not booked or Transaction not registered as and when due",Agbolade Atekoja,People›Skills›Negligence of duties and responsibilities,People›Capacity›Staff shortages within unit (lack of capacity in unit),,,,"Incomplete and inaccurate net asset valuation of NNPC,RSA,CBN,MTN and ExxonMobil Funds",Potential Loss,Loss or Damage to Assets,0,,,,,,"Do a call over of all trades for the day to identify omitted trade s and book| Work with the MD/Top Management to restructures IM Team with clear line of responsibilities, having Fixed Income and Equity portfolio being managed by distinct teams and sufficiently resourced the unit to minimize the impact of under capacity within IM Unit",Agbolade Atekoja| Akinola Akinwole,2016-08-23| 2016-09-30,,Complete| Complete,,,,
1793,Erroneous  booking of fidelity fixed deposit of N2.2B which was not rolled over by the counterparty (Fidelity bank),ARM Pensions›Investment Mangement›Investment Mangement,8/31/2016 14:27,10/28/2016 18:09,8/23/2016,8/26/2016,₦0.00,,n/a,0,0,0,Closed,Agbolade Atekoja,"Execution, Delivery and Process Management›Transaction capture, execution and maintenance›Data entry errors (e.g. wrong payment instructions, wrong account credited etc.)",Agbolade Atekoja,External Events›Client / Customer Relations›Client/Counterparty Failures,,,,,Incomplete and inaccurate net asset valuation,,,,,,,,,Deleted erroneously booked trade from Fundware,Agbolade Atekoja,8/31/2016,,Complete,,,,
1794,GTB GAPS processed some previously declined transactions,ARM Pensions›X_Finance›Finance,8/31/2016 14:43,10/28/2016 18:27,8/29/2016,8/30/2016,"₦800,000.00",0,"A WEAKNESS IN THE GAPS PLATFORM,WHICH COULDNT STOP DECLINED TRANSACTIONS FROM BEEN SUCCESSFUL",0,0,0,Closed,Odunayo Aina,Business Disruption and System Failures›Inadequacy / Inefficiency / Malfunction or Block of Technology Systems or Company infrastructure›Automated data processing errors,Moji Adenekan,External Events›Outsourcing›Performance failure of outsourced vendor / service provider,,,,,Potential financial loss should previously declined transaction goes through.,Potential Loss,Loss or Damage to Assets,0,All the erroneously processed transactions were recovered,,,,,Formally logged the system glitches complain with GTBank for prompted rectification,Moji Adenekan,8/31/2016,,Complete,,,,
1796,Erronoeous booking of Ecobank call palacement as N2Billion instead of N1.8Billion (RSA Fund),ARM Pensions›Investment Mangement›Investment Mangement,8/31/2016 18:46,10/31/2016 8:14,8/24/2016,8/26/2016,₦0.00,0,N/A,0,0,0,Closed,Oluwaseun Adewale,"Execution, Delivery and Process Management›Transaction capture, execution and maintenance›Data entry errors (e.g. wrong payment instructions, wrong account credited etc.)",Omokolade Amu,People›Skills›Negligence of duties and responsibilities,,,,,Overstatement of RSA Fund account valuations,Actual Loss,Loss of Recourse,0,,,,,,Reserved the erroneously book trade and rebook the trade accordingly.,Omokolade Amu,8/31/2016,,Complete,,,,
1797,Erroneous transfer of N2.04B to ExxonMobil UAPT Fund Instead of RSA Fund Investment Account,ARM Pensions›Investment Mangement›Investment Mangement,8/31/2016 18:52,1/30/2017 7:56,8/15/2016,8/22/2016,₦0.00,0.00| 0.00,The erroneous credit transfer has been recovered,0,0,0,Closed,Oluwaseun Adewale,"Execution, Delivery and Process Management›Transaction capture, execution and maintenance›Improper identification of beneficiaries",Agbolade Atekoja,People›Skills›Negligence of duties and responsibilities,External Events›Client / Customer Relations›Client/Counterparty Failures,,,,Under valuation of RSA Fund and over valuation of ExxonMobil | Potential financial fraud by fund managers due to coronation's system lapses in verifying account holders,Potential Loss| Potential Loss,Loss of Recourse| Loss or Damage to Assets,0.00| 0.00,,,,,,Process refund from ExxonMobil UAPT account and transfer same to the original RSA Investment Account| Prepare a Memo on while Erroneous transfer of N2.04B was made to ExxonMobil UAPT Fund Instead of RSA Fund Investment Account and filed accordingly| Request a documented letter stating improvement activities which Coronation Merchant bank has put in place as control measures to prevent honoring transfer request where account Name and Number are not the same| Suspend transactions with Coronation Merchant Bank pending the bank's process improvement ,Agbolade Atekoja| Oyekunle Omotayo-...| Oyekunle Omotayo-...| Oyekunle Omotayo-...,2016-08-31| 2016-11-04| 2016-11-04| 2016-08-22,,Complete| Complete| Complete| Complete,,,,
1798,A Week Temporary Closure of Damaturu’s Service Center due to Flood Incidence,ARM Pensions›Business Development›North Region,8/31/2016 19:11,10/31/2016 14:03,8/30/2016,8/31/2016,"₦18,000.00","0.00| 18,000.00","Being the estimated cost of damaged UPS, aside potential loss of clients",0,"18,000.00","18,000.00",Closed,Oluwaseun Adewale,Disasters and Other Events›Natural causes›Flood incident,John Ikazoboh,"External Events›Social and Natural Environment›Natural disasters (Fire, floods, etc)",,,,,Inability to perform routine operations for a week| Damage to assets and properties all of which are under going recovery process.,Actual Loss| Actual Loss,Reduced operational capacity| Loss or Damage to Assets,"0.00| 18,000.00",Being the estimated cost of UPS as all other asset have been fully recovered.,,,,,IT to work with the branch office in carrying out some form of Maintenance check on the affected systems in attempt to restore them back to full operations | Replaced the Damaged UPS,Steve Omali| Steve Omali,2016-09-15| 2016-09-15,,Complete| Complete,,,,
1802,Failure to book executed trades on Fundware for 4 days (LCC and  UBA-CDBS Funds),ARM Pensions›Investment Mangement›Investment Mangement,9/6/2016 11:09,1/30/2017 7:57,9/6/2016,9/8/2016,₦0.00,0,n/a,0,0,0,Closed,Agbolade Atekoja,"Execution, Delivery and Process Management›Transaction capture, execution and maintenance›Transaction not booked or Transaction not registered as and when due",Agbolade Atekoja,People›Skills›Negligence of duties and responsibilities,,,,,Inability to make correct investment decision due to data integrity issue as the asset holding position might not reflect accurate position,Potential Loss,Reduced operational capacity,0,,,,,,"Work with the MD/Top Management to restructures IM Team with clear line of responsibilities, having Fixed Income and Equity portfolio being managed by distinct teams and sufficiently resourced the unit to minimize the impact of under capacity within IM Unit| Book all identified omitted trades following reconciliation exercise carried out by Fund Account.",Akinola Akinwole| Agbolade Atekoja,2016-12-30| 2016-09-14,,Complete| Complete,,,,
1805,Inability to Generate RSA Pin for 3days Due to Recent Upgrade of PenCom Internet Service Capacity,ARM Pensions›Operations›Data Management Unit,9/9/2016 14:26,9/9/2016 19:11,9/6/2016,9/8/2016,₦0.00,0,na,0,0,0,Closed,Oluwaseun Adewale,"Business Disruption and System Failures›Interruption in services provided by external providers›Inability to process transactions on external applications (CSCS website, NSE trading terminal, etc.)",Toyin Olayeni,External Events›Outsourcing›Performance failure of outsourced vendor / service provider,,,,,Inability to satisfy client request on time with respect to Pin Generation,Actual Loss,Reduced operational capacity,0,,,,,,Follow up with PenCom to understand the recent changes on the portal and replicate same on all the applications interfacing with PenCom.,Abdulmalik Musa,9/9/2016,,Complete,,,,
1803,FORGE ANNUITY APPLICATION-PEN10009935711,ARM Pensions›Customer Experience›East,9/8/2016 8:37,11/28/2016 7:06,7/27/2016,7/27/2016,₦0.00,0,The forged application was intercept before processing commenced.,0,0,0,Closed,Oluwaseun Adewale,External Fraud›Unauthorised Activities (External)›Account take over / impersonation,Tochukwu Oyeka,External Events›Social and Natural Environment›Unethical Social and Business Environment,,,,,Loss of client and the resultant feesto an insurance company,Potential Loss,Loss or Damage to Assets,0,This risk did not crystalize,,,,,"Carry out an internal investigation to gain an understand of the event | Ensure a clearer identification of customers in the Call Logs of the Avaya IPO Recorder such that names of customer whose mobile number matches what is on our database are reflected on the call log.| Ensure across all the service centers,  Mail register captures the origination and destination mails for easy tracking of document.",Segun Awode| Yomi Egbeola| Moronke Bamgbala,2016-08-31| 2016-11-30| 2016-12-30,"This has been effected while calls are going on. Agent can now identify who is calling even before calls are received. However it is still not possible to save these names against the individual recipients in the AVAYA IPO Recorder mainly because once the call is terminated, the database search also stop. Search can however be conducted with the use of Mobile Numbers",Complete| Complete| Complete,,,,
1808,Erroneous Computation of Benefit Payment Resulting In an Over payment of Lumpsum (PEN100607795418),ARM Pensions›Operations›Benefit Administration,9/22/2016 10:13,1/26/2017 9:21,9/19/2016,9/20/2016,"₦2,456,208.54","2,456,208.54",Money will be recouped from his monthly pension,"2,456,209.00","2,456,208.54",-0.46,Closed,Kofo Ejueyitchie,"Execution, Delivery and Process Management›Transaction capture, execution and maintenance›Erroneous payment to a client, vendor or other counterpaties",Toni Timi-Oyefolu,People›Skills›Negligence of duties and responsibilities,,,,,Potential financial loss should the client move its RSA Balance to annuity without Benefit Admin deducting the excess amount already paid.,Potential Loss,Loss of Recourse,"2,456,208.54",Being the overpaid amount.,,,,,Obtain commitment/consent  from the RSA Holder to allow us deduct the erroneous payment from the remaining RSA Balance | Withhold 4 months monthly program withdrawal of the RSA Holder (October 2016-Jan 2017),Toni Timi-Oyefolu| Ayodeji Majaro,2016-09-30| 2016-11-22,,Complete| Complete,2016-09-26| 2017-01-24,"614,052.00| 1,842,157.00",Others,1 of 4 Monthly Pension Withheld| 3 Months pensions withheld
1809,2-Day Landline Downtime Affecting Incoming and Outgoing Calls (Ikoyi & Surulere Office Excluding Call Center),ARM Pensions›X_Human Resources and Administration›Human Resources and Administration,9/28/2016 6:20,1/26/2017 8:52,9/26/2016,9/27/2016,₦0.00,0,CANNOT BE ESTIMATED AT THE MOMENT,0,0,0,Closed,Olushola Adekunle,Business Disruption and System Failures›Interruption in services provided by external providers›Telecommunication link outages,Esther Ukwuoma,External Events›Outsourcing›Performance failure of outsourced vendor / service provider,,,,,Inability to make or receive calls from external parties affecting IM and Customer service landlines,Actual Loss,Reduced operational capacity,0,,,,,,Work with IT to have a working back up line (Airtel as proposed) for Surulere office.,Esther Ukwuoma,12/30/2016,07080635200  and 07080635299,Complete,,,,
1815,Duplicate Payment of Staff (5) within LCC Gratuity Fund,ARM Pensions›Operations›Benefit Administration,10/6/2016 18:32,4/9/2019 13:01,7/20/2016,9/30/2016,"₦6,042,110.00","6,042,110.00",Being duplicate payment to 4 staff and 1 exited staff of LCC Gratuity Fund,"5,606,368.00","6,042,110.00","435,742.00",Closed,Tochukwu Oyeka,"Execution, Delivery and Process Management›Transaction capture, execution and maintenance›Erroneous payment to a client, vendor or other counterpaties",Toni Timi-Oyefolu,Process›Quality of controls›Inadequate controls in place (specific / pervasive / monitoring),,,,,Potential financial loss should the erroneously made payment remain recouped.,Actual Loss,Loss of Recourse,"6,042,110.00",being the total amount erroneously paid to beneficiary,,,,,"Request and attend a meeting with sponsor of LCC Gratuity Fund and to plan how the erroneous double payment can be recouped including commitment to that effect.| Implementation of unique identifier (reference code) embedded onto all subsequent LCC Gratuity Fund payment requests.  | Recovery of outstanding funds from recipients | ED, Operations to approve write-off of this event’s loss as efforts to recoup the remaining losses have proven unsuccessful and has since been deemed non-collectable.",Kofo Ejueyitchie| Ayodeji Majaro| Tochukwu Oyeka| Layi Afolabi,2016-10-06| 2016-11-30| 2017-08-31| 2018-11-30,Approval for write off has been obtained and the amount has been written off,Complete| Complete| Complete| Complete,2016-10-07| 2016-10-12| 2016-10-13| 2017-01-24| 2017-02-08,"3,280,000.00| 1,000,000.00| 700,000.00| 326,368.00| 300,000.00",Others| Others| Others| Others| Others,Various recoveries from debting the respective beneficiaries within LCC funds | Recovery from Olumide Oni| Recovery from Olumide Oni| Additional Recovery| Additional Recovery
1817,Navision Downtime (6 working hours lost within 2 days- 6th & 7th/10/2016)- Within Surulere Office,ARM Pensions›Information Technology›Information Technology,10/7/2016 8:40,11/2/2016 16:54,10/6/2016,10/6/2016,₦0.00,,Disruptions to various Operation using Navision.,0,0,0,Closed,Wasiu Salami,"Business Disruption and System Failures›Interruption in services provided by external providers›Inability to process transactions on external applications (CSCS website, NSE trading terminal, etc.)",Steve Omali,Systems›System availability›Hardware failure (Failure of wearing parts etc),,,,,DNS related issue resulting in Server name non resolution.,Potential Loss,Reduced operational capacity,,,,,,,Change affected System Name to IP address temporarily to resolved the downtime (troubleshooting)based on the vendor's recommendation,Yomi Egbeola,10/7/2016,,Complete,,,,
1820,Power Outage in ARMP Surulere office (Between 8am -10am),ARM Pensions›Human Capital Management›Human Capital Management,10/11/2016 9:51,9/14/2017 12:09,10/11/2016,10/11/2016,₦0.00,0,Operation Disruption,0,0,0,Closed,Ahmed Shittu,Business Disruption and System Failures›Inadequacy / Inefficiency / Malfunction or Block of Technology Systems or Company infrastructure›Generator Breakdown,Esther Ukwuoma,External Events›Outsourcing›Performance failure of outsourced vendor / service provider,,,,,Business Disruption,Actual Loss,Reduced operational capacity,0,,,,,,Have a routine maintenance schedule in place both for the main and back up generators and ensure strict adherence to the maintenance schedule.,Esther Ukwuoma,12/31/2016,Maintenance log checked and confirmed okay.,Complete,,,,
1833,6 Hours Power Outage (4am-10am) at Ikoyi Office,ARM Pensions›Administration›Administration,10/18/2016 16:21,9/12/2017 15:58,10/18/2016,10/18/2016,"₦25,000.00","25,000.00",being cost of replacing the damage biometric sensor,0,"25,000.00","25,000.00",Open,Esther Ukwuoma,Business Disruption and System Failures›Interruption in services provided by external providers›Power outages,Yetunde Alabi,External Events›Outsourcing›Performance failure of outsourced vendor / service provider,,,,,All Operations were totally grounded during the period as the data center was not available.| Reputational damage as client requests could not be attended to.| Damage to data center bio- metric access control and other potential damage to servers and backups ,Actual Loss| Actual Loss| Actual Loss,Reduced operational capacity| Regulatory Action| Loss or Damage to Assets,"25,000.00",being cost of replacing the damage biometric sensor,,,,,Have a signed SLA with Tofa House Generator as it relate to Power supply to the firm| Prepare an incidence report stating the impact of the prolonged power outage on Data center including any financial loss incurred in repairing damaged asset (if any) ,Esther Ukwuoma| Steve Omali,2017-02-03| 2016-10-31,SLA under review to suit ARM Pensions’ purpose,In Progress| Complete,,,,
1838,T-Bill of 1.1bn was erroneously omitted from bookings for the RSA portfolio,ARM Pensions›Investment Mangement›Investment Mangement,10/21/2016 6:53,1/30/2017 7:59,10/7/2016,10/11/2016,₦0.00,0.00| 0.00,n/a,0,0,0,Closed,Agbolade Atekoja,"Execution, Delivery and Process Management›Transaction capture, execution and maintenance›Transaction not booked or Transaction not registered as and when due",Nkem Azinge,People›Skills›Negligence of duties and responsibilities,People›Capacity›Staff shortages within unit (lack of capacity in unit),,,,Incorrect holding position especially with respect to overstating cash and understanding T-bill | Marginal fund pricing error ,Actual Loss| Actual Loss,Loss or Damage to Assets,0.00| 0.00,Marginal fund pricing error,,,,,"Book the omitted T-Bill| Work with the MD/Top Management to restructures IM Team with clear line of responsibilities, having Fixed Income and Equity portfolio being managed by distinct teams and sufficiently resourced the unit to minimize the impact of under capacity within IM Unit",Agbolade Atekoja| Akinola Akinwole,2016-10-21| 2016-12-30,,Complete| Complete,,,,
1840,A Day Delay in Executing Fixed Deposit Placement by UBA (N250M) for ARM Prosperity Fund,ARM Pensions›Investment Mangement›Investment Mangement,10/24/2016 14:31,1/30/2017 8:03,10/21/2016,10/24/2016,"₦112,704.92","112,704.92","One day interest lost on investment, however UBA the defaulter has been asked to fund that cost.","112,704.92","112,704.92",0,Closed,Nkem Azinge,"Execution, Delivery and Process Management›Non-client counterparty breaches›Failure of counter-party company to honour services to fellow counter-party companies per agreement",Nkem Azinge,External Events›Client / Customer Relations›Client/Counterparty Failures,,,,,Loss of a day interest income | Inaccurate record keeping due to divergence in firm holding positions and that of the counterparty ,Actual Loss| Actual Loss,Loss or Damage to Assets| Reduced operational capacity,"112,704.92",Being a day interest income lost,,,,,Request UBA the defaulter to make good the interest lost for the one day delay,Nkem Azinge,10/31/2016,,Complete,10/31/2016,"112,704.92",Others,
